City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Bathsheba,BB,2021-11-23 05:10:52,13.2167,-59.5167,78.1,81,97,10.76
239,Mareeba,AU,2021-11-23 05:10:53,-17.0,145.4333,89.44,62,22,11.18
240,Nanortalik,GL,2021-11-23 05:10:53,60.1432,-45.2371,20.28,74,4,13.62
241,Richards Bay,ZA,2021-11-23 05:10:54,-28.783,32.0377,69.06,89,100,11.41
242,Yaan,NG,2021-11-23 05:10:55,7.3833,8.5667,75.24,87,79,5.7
243,Alice Springs,AU,2021-11-23 05:09:38,-23.7,133.8833,76.55,65,97,14.97
244,Lubango,AO,2021-11-23 05:10:55,-14.9172,13.4925,60.67,62,83,1.92
245,Port Macquarie,AU,2021-11-23 05:10:56,-31.4333,152.9167,73.89,75,63,7.7
246,Lucea,JM,2021-11-23 05:10:56,18.451,-78.1736,79.86,70,92,5.99
247,Rasulnagar,PK,2021-11-23 05:10:56,32.3285,73.7814,61.03,17,0,2.95
248,Cockburn Town,TC,2021-11-23 05:10:57,21.4612,-71.1419,81.28,74,4,12.08
249,Brae,GB,2021-11-23 05:10:57,60.3964,-1.353,48.11,81,100,22.1
250,Dehloran,IR,2021-11-23 05:07:15,32.6941,47.2679,67.26,49,0,1.25
251,Santa Fe,AR,2021-11-23 05:09:12,-31.6333,-60.7,78.01,44,28,4.0
252,Ortona,IT,2021-11-23 05:10:57,42.3496,14.4039,57.27,86,99,4.14
253,Iisalmi,FI,2021-11-23 05:10:58,63.5592,27.1907,24.82,99,87,1.48
254,Bredasdorp,ZA,2021-11-23 05:10:58,-34.5322,20.0403,61.29,67,20,5.14
255,Mao,ES,2021-11-23 05:10:58,39.8885,4.2658,52.36,93,0,6.91
256,Fairview,US,2021-11-23 05:10:59,40.8126,-73.999,37.2,54,1,3.44
257,Barberton,ZA,2021-11-23 05:10:59,-25.7884,31.0532,63.93,82,88,2.3
258,Arzgir,RU,2021-11-23 05:10:59,45.3728,44.2206,44.2,69,3,9.91
259,Codrington,AU,2021-11-23 05:11:00,-38.2667,141.9667,66.54,90,100,16.46
